symbol,name,cname,category,mktcap,market,pe
AAPL,Apple  Inc.,苹果公司,计算机,1012512611150,NASDAQ,24.89675886
AMZN,Amazon.com  Inc.,亚马逊公司,互联网,876764776076,NASDAQ,374.35304497
GOOGL,Alphabet  Inc.,谷歌A类股,媒体内容,852110216152,NASDAQ,44.51685948
GOOG,Alphabet  Inc.,谷歌,互联网,841825560762,NASDAQ,43.97955744
MSFT,Microsoft Corp.,微软公司,软件,826481821655,NASDAQ,50.50234456
BSMX,Banco Santander (M茅xico) SA Instituci贸n de Banca M煤ltiple,桑坦德银行墨西,银行,659780055318,NYSE,13.16128998
FB,Facebook  Inc.,Facebook,媒体内容,511472985840,NASDAQ,50.53581508
BRK.A,Berkshire Hathaway  Inc.,伯克希尔-哈撒韦,保险,493902400000,NYSE,25.66523688
BRK.B,Berkshire Hathaway  Inc.,伯克希尔-哈撒韦B,保险,491188793945,NYSE,0.01687892
BABA,Alibaba Group Holding Ltd.,阿里巴巴,null,464899615540,NYSE,84.14746529
JPM,JPMorgan Chase & Co.,摩根大通公司,,395410613553,NYSE,18.76413578
DEO,Diageo Plc,帝亚吉欧公司,饮料,368550111335,NYSE,31.60129507
JNJ,Johnson & Johnson,强生公司,制药,352032172800,NYSE,22.13322155
FMX,Fomento Economico Mexicano SAB de CV,Fomento Economico Mexicano SAB de CV,饮料,348233344065,NYSE,30.89523706
XOM,Exxon Mobil Corp.,埃克森美孚公司,,338325361855,NYSE,42.50532120
BAC,Bank of America Corp.,美国银行公司,银行,317160444968,NYSE,20.85333379
V,Visa  Inc.,维萨卡公司,,301456396027,NYSE,53.84496212
WFC,Wells Fargo & Co.,富国银行,银行,284039590233,NYSE,14.60902275
RDS.A,Royal Dutch Shell Plc,荷兰皇家壳牌石油公司,,275803797455,NYSE,16.37128713
RDS.B,Royal Dutch Shell Plc,荷兰皇家壳牌石油公司,null,274725108566,NYSE,null
HDB,HDFC Bank Ltd.,HDFC银行,银行,267017703847,NYSE,254.14633624
WMT,Walmart  Inc.,沃尔玛公司,零售,261916570384,NYSE,20.26484014
ENIC,Enel Chile SA,Enel Chile SA,null,256755347614,NYSE,8.71666635
UNH,UnitedHealth Group  Inc.,美国联合健康集团,卫生保健设施,246087999528,NYSE,35.32137746
PFE,Pfizer Inc.,辉瑞制药公司,制药,240279009247,NYSE,33.88889144
CVX,Chevron Corp.,雪佛龙公司,油气,236500413682,NYSE,-458.37036007
FIYY,Barclays ETN+FI Enhanced Global High Yield ETN,Barclays ETN+FI Enhanced Global High Yield ETN,null,233755027058,AMEX,null
FFEU,Barclays ETN+FI Enhanced Europe 50 ETN,Barclays ETN+FI Enhanced Europe 50 ETN,null,233216377035,AMEX,null
BBL,BHP Billiton Plc,必和必拓公司,,233069207306,NYSE,47.10752800
INTC,Intel Corp.,英特尔公司,半导体,230576785200,NASDAQ,23.33962369
LYG,Lloyds Banking Group Plc,劳埃德银行,银行,227861390862,NYSE,27.58333347
HD,The Home Depot  Inc.,家得宝公司,零售,225701634363,NYSE,30.33488519
NVS,Novartis AG,诺华公司,生物技术和制药,220861136898,NYSE,30.02500040
TSM,Taiwan Semiconductor Manufacturing Co.  Ltd.,台湾积体电路制造公司,半导体,215481453843,NYSE,19.50704085
VZ,Verizon Communications  Inc.,威讯通信公司,,214776155118,NYSE,16.19314608
TM,Toyota Motor Corp.,丰田汽车公司,汽车制造,210990504913,NYSE,12.04503692
MA,Mastercard  Inc.,万事达卡公司,商业服务,208110696341,NYSE,54.74525511
PG,Procter & Gamble Co.,宝洁公司,,206197194752,NYSE,15.01831491
BA,The Boeing Co.,波音公司,航空航天\/国防,203746056733,NYSE,45.95663664
CSCO,Cisco Systems  Inc.,思科系统公司,电信,200013469772,NASDAQ,21.92267914
KO,The Coca-Cola Co.,可口可乐公司,饮料,196507903665,NYSE,30.99328860
T,AT&T  Inc.,美国电话电报公司,电信,195590858458,NYSE,15.16666754
ORCL,Oracle Corp.,甲骨文公司,软件,195542649864,NYSE,22.70142365
BUD,Anheuser-Busch InBev SA\/NV,百威英博公司,饮料,194201488376,NYSE,141.45070893
HSBC,HSBC Holdings Plc,汇丰控股公司,银行,184692127419,NYSE,141.24242048
C,Citigroup  Inc.,花旗集团,银行,183186960712,NYSE,15.22033888
NGG,National Grid Plc,英国国家电网公司,,181704136007,NYSE,15.63905291
CHL,China Mobile Ltd.,中国移动通信集团公司,,181023314449,NYSE,11.45336795
AVAL,Grupo Aval Acciones y Valores SA,Grupo Aval Acciones y Valores SA,null,175797094600,NYSE,11.95454478
MRK,Merck & Co.  Inc.,默沙东集团,生物技术和制药,175461363023,NYSE,46.25532111
UN,Unilever NV,联合利华,,171946191925,NYSE,29.26020273
EOCC,Enel Generaci贸n Chile SA,Enel Generaci贸n Chile SA,null,170678413453,NYSE,7.97318019
UL,Unilever Plc,联合利华PLC,食品,169967386983,NYSE,28.92346812
DIS,The Walt Disney Co.,沃特迪士尼公司,媒体内容,168056137216,NYSE,20.35198570
PEP,PepsiCo  Inc.,百事可乐公司,饮料,162613218127,NYSE,26.30504563
CMCSA,Comcast Corp.,康卡斯特公司,媒体,159073811848,NASDAQ,19.35195538
TOT,Total SA,道达尔公司,,158144886109,NYSE,25.41832649
SHPG,Shire Plc,夏尔制药公司,生物技术和制药,156526218213,NASDAQ,139.26612993
TI,Telecom Italia SpA,意大利电信,电信,156318629406,NYSE,7.42000008
DWDP,DowDuPont  Inc.,陶氏杜邦公司,null,154193294329,NYSE,null
NVDA,NVIDIA Corp.,英伟达公司,半导体,152126337036,NASDAQ,97.51751036
TBB,AT&#38;T Inc.,AT&#38;T Inc.,null,151652573055,NYSE,null
NFLX,Netflix  Inc.,奈飞公司,,149751735744,NASDAQ,801.16277737
ABBV,AbbVie  Inc.,艾伯维公司,生物技术和制药,144017394402,NYSE,26.20385668
BP,BP Plc,英国石油公司,,142057724986,NYSE,1094.25003590
SAP,SAP SE,SAP,软件,141977744625,NYSE,35.34250776
E,Eni SpA,埃尼石油公司,,137510755093,NYSE,-43.41379339
PM,Philip Morris International  Inc.,菲利普莫里斯国际公司,农业,133684421376,NYSE,19.19642849
PTR,PetroChina Co.  Ltd.,中国石油天然气股份有限公司,油气,133605330000,NYSE,121.66666183
BHP,BHP Billiton Ltd.,必和必拓,,132968037963,NYSE,53.72042871
NKE,NIKE  Inc.,耐克公司,,132503230571,NYSE,32.77083267
IBM,International Business Machines Corp.,IBM(国际商业机器有限公司),,131232711443,NYSE,11.54765795
AMGN,Amgen  Inc.,安进公司,生物技术,129945824369,NASDAQ,19.17773528
BALB,iPath Series B Bloomberg Cotton Subindex Total Return ETN,iPath Series B Bloomberg Cotton Subindex Total Return ETN,null,128833423110,AMEX,null
BJJN,iPath Series B Bloomberg Nickel Subindex Total Return ETN,iPath Series B Bloomberg Nickel Subindex Total Return ETN,null,126069871179,AMEX,null
JJEB,iPath Series B Bloomberg Energy Subindex Total Return ETN,iPath Series B Bloomberg Energy Subindex Total Return ETN,null,124781763961,AMEX,null
ADBE,Adobe Systems  Inc.,Adobe,软件,124210788037,NASDAQ,96.26718024
MCD,McDonald's Corp.,麦当劳公司,零售,122024364175,NYSE,28.56801508
MMM,3M Co.,明尼苏达矿业制造公司,,122021522612,NYSE,25.18750032
MDT,Medtronic Plc,美敦力公司,,121730837850,NYSE,31.76325152
JJGB,iPath Series B Bloomberg Grains Subindex Total Return ETN,iPath Series B Bloomberg Grains Subindex Total Return ETN,null,120144604780,AMEX,null
RYAAY,Ryanair Holdings Plc,Ryanair Holdings Plc,航空公司,118845961229,NASDAQ,18.20108724
HON,Honeywell International  Inc.,霍尼韦尔国际公司,电子,116446379947,NYSE,25.14516108
UNP,Union Pacific Corp.,联合太平洋公司,运输,116290318353,NASDAQ,29.57396398
JJTB,iPath Series B Bloomberg Tin Subindex Total Return ETN,iPath Series B Bloomberg Tin Subindex Total Return ETN,null,115999263481,AMEX,null
GE,General Electric Co.,通用电气公司,多元化制造商,114385923827,NYSE,14.79775313
SNP,China Petroleum & Chemical Corp.,中国石油化工股份有限公司,,114205657104,NYSE,16.87500029
RY,Royal Bank of Canada,加拿大皇家银行,银行,113645637804,NYSE,14.51582842
ABT,Abbott Laboratories,雅培公司,,113221014443,NYSE,68.70212978
JJAB,iPath Series B Bloomberg Agriculture Subindex Total Return ETN,iPath Series B Bloomberg Agriculture Subindex Total Return ETN,null,113002444248,AMEX,null
SNY,Sanofi,赛诺菲-安万特公司,制药,111820695686,NYSE,22.31281911
MO,Altria Group  Inc.,奥驰亚集团公司,农业,111450499793,NYSE,8.08104397
JJUB,iPath Series B Bloomberg Aluminum Subindex Total Return ETN,iPath Series B Bloomberg Aluminum Subindex Total Return ETN,null,110776604268,AMEX,null
TXN,Texas Instruments Incorporated,德州仪器公司,半导体,110158800301,NASDAQ,32.24425243
LLY,Eli Lilly & Co.,礼来公司,生物技术和制药,109863621648,NYSE,38.55426518
TD,The Toronto-Dominion Bank,道明银行,银行,109529553792,NYSE,16.41274286
UTX,United Technologies Corp.,联合技术公司,航空航天\/国防,107303973283,NYSE,21.91503229
COWB,iPath Series B Bloomberg Livestock Subindex Total Return ETN,iPath Series B Bloomberg Livestock Subindex Total Return ETN,null,107006456135,AMEX,null
WPP,WPP plc,WPP plc,广告,106905271790,NASDAQ,12.56398853
JJMB,iPath Series B Bloomberg Industrial Metals Subindex TR ETN,iPath Series B Bloomberg Industrial Metals Subindex TR ETN,null,106888884412,AMEX,null
JJPB,iPath Series B Bloomberg Precious Metals Subindex TR ETN,iPath Series B Bloomberg Precious Metals Subindex TR ETN,null,105155809321,AMEX,null
VZA,Verizon Communications  Inc.,Verizon Communications  Inc.,null,105045576704,NYSE,8.02180676
UPS,United Parcel Service  Inc.,联合包裹服务公司,运输,104684660653,NYSE,30.64599534
CRM,salesforce.com  inc.,赛富时公司,软件,103582645552,NYSE,542.84617141
ACN,Accenture Plc,埃森哲公司,,102638294969,NYSE,26.69166565
PYPL,PayPal Holdings  Inc.,PayPal,null,101267518555,NASDAQ,74.37391352
JJSB,iPath Series B Bloomberg Softs Subindex Total Return ETN,iPath Series B Bloomberg Softs Subindex Total Return ETN,null,101080725167,AMEX,null
GILD,Gilead Sciences  Inc.,吉利德科学公司,生物技术和制药,100608476440,NASDAQ,7.80985921
ISF,ING Groep NV,ING Groep NV,null,100536030255,NYSE,25.37254867
NVO,Novo Nordisk A\/S,诺和诺德公司,制药,100064485657,NYSE,23.01851817
ISG,ING Groep NV,ING Groep NV,null,99914478863,NYSE,22.17241384
GSK,GlaxoSmithKline Plc,葛兰素史克公司,生物技术和制药,99650479875,NYSE,88.23912917
JJCB,iPath Series B Bloomberg Copper Subindex Total Return ETN,iPath Series B Bloomberg Copper Subindex Total Return ETN,null,99535005440,AMEX,null
AZN,AstraZeneca Plc,阿斯利康公司,制药,98244644257,NYSE,28.07246508
BKNG,Booking Holdings  Inc.,Booking Holdings  Inc.,null,98092138193,NASDAQ,null
VTI,Vanguard Total Stock Market Index Fund,大盘指数ETF-Vanguard MSCI,股权,97703359928,NYSE,6.06405962
BJO,iPath Series B Bloomberg Coffee Subindex Total Return ETN,iPath Series B Bloomberg Coffee Subindex Total Return ETN,null,97169589242,AMEX,null
COST,Costco Wholesale Corp.,好市多公司,,96983672098,NASDAQ,40.79704650
BMY,Bristol-Myers Squibb Co.,百时美施贵宝公司,制药,96721345143,NYSE,22.36603710
PGMB,iPath Series B Bloomberg Platinum Subindex Total Return ETN,iPath Series B Bloomberg Platinum Subindex Total Return ETN,null,95881482024,AMEX,null
QCOM,QUALCOMM  Inc.,高通公司,半导体,95147125069,NASDAQ,19.74695037
TMO,Thermo Fisher Scientific  Inc.,赛默飞世尔科技公司,,93809725456,NYSE,45.80942852
RIO,Rio Tinto Plc,力拓公司,采矿,92961860605,NYSE,20.33333312
ASML,ASML Holding NV,阿斯麦公司,半导体,91790131497,NASDAQ,55.05612325
LMT,Lockheed Martin Corp.,洛克希德马丁公司,,91705195745,NYSE,18.41166342
SGGB,iPath Series B Bloomberg Sugar Subindex Total Return ETN,iPath Series B Bloomberg Sugar Subindex Total Return ETN,null,91361421062,AMEX,null
SLB,Schlumberger NV,斯伦贝谢公司,,91268804371,NYSE,-53.17742091
GS,The Goldman Sachs Group  Inc.,高盛集团,,90764723131,NYSE,14.36402654
MS,Morgan Stanley,摩根士丹利,,88359674551,NYSE,17.05821920
LFC,China Life Insurance Co. Ltd.,中国人寿保险股份有限公司,保险,87506399186,NYSE,25.25000033
SAN,Banco Santander SA,桑坦德银行,银行,87457953646,NYSE,12.31818206
EQNR,Equinor ASA,Equinor ASA,null,86878877290,NYSE,null
USB,U.S. Bancorp,美国合众银行,银行,85971798752,NYSE,16.21913552
AXP,American Express Co.,美国运通公司,多元化金融服务,85867532890,NYSE,17.65132773
FOXA,Twenty-First Century Fox  Inc.,21世纪福克斯公司,null,83545507635,NASDAQ,27.45731657
MUFG,Mitsubishi UFJ Financial Group  Inc.,Mitsubishi UFJ Financial Group  Inc.,null,83321092822,NYSE,null
COP,ConocoPhillips,康菲石油公司,油气,83159537403,NYSE,-24.59106373
FOX,Twenty-First Century Fox  Inc.,Twenty-First Century Fox  Inc.,null,82734265650,NASDAQ,27.23170746
CAT,Caterpillar  Inc.,卡特彼勒公司,,82516851965,NYSE,-1150.08331326
LOW,Lowe's Cos.  Inc.,劳氏公司,零售,80095682007,NYSE,28.08069211
ABEV,Ambev SA,安贝夫集团,null,80012192593,NYSE,20.36000061
NEE,NextEra Energy  Inc.,新纪元能源公司,电力,79913412265,NYSE,27.11199951
BIDU,Baidu  Inc.,百度,媒体内容,79889509822,NASDAQ,49.77537819
AVGO,Broadcom  Inc.,安华高科技,半导体,79184102234,NASDAQ,-45.73995882
TWX,Time Warner  Inc.,时代华纳公司,媒体内容,77238137375,NYSE,19.91330562
BLK,BlackRock  Inc.,贝莱德集团,,76420149382,NYSE,24.96375918
PBR,Petr贸leo Brasileiro SA,巴西石油公司,油气,75215200481,NYSE,-16.32876680
EFA,iShares MSCI EAFE ETF,EAFE指数ETF-iShares MSCI,股权,75160322021,NYSE,5.95625547
VALE,Vale SA,淡水河谷公司,钢铁,73630252600,NYSE,16.91566294
EOG,EOG Resources  Inc.,依欧格资源公司,,72889874169,NYSE,-63.60100964
CEO,CNOOC Ltd.,中国海洋石油总公司,油气,72525328616,NYSE,1624.40000021
BSBR,Banco Santander (Brasil) SA,桑坦德巴西分行,银行,72472891046,NYSE,15.58064480
KHC,The Kraft Heinz Co.,The Kraft Heinz Co.,null,72408601860,NASDAQ,21.13879101
WBK,Westpac Banking Corp.,澳洲西太平洋银行,银行,72077492810,NYSE,12.89221631
VXXB,Barclays Bank PLC iPath Series B S&#38;P 500 VIX Short-Term Futu,Barclays Bank PLC iPath Series B S&#38;P 500 VIX Short-Term Futu,null,71852564642,AMEX,null
DVMT,Dell Technologies  Inc.,Dell Technologies  Inc.,null,71454720703,NYSE,-38.28806517
DHR,Danaher Corp.,丹纳赫公司,,70984562865,NYSE,27.79451899
PBR.A,Petr贸leo Brasileiro SA,巴西石油公司,null,70896856754,NYSE,null
BNS,The Bank of Nova Scotia,加拿大丰业银行,银行,70895417329,NYSE,13.35214533
SBUX,Starbucks Corp.,星巴克公司,零售,70610384417,NASDAQ,26.50256361
BIIB,Biogen  Inc.,百健艾迪股份有限公司,生物技术,70088009325,NASDAQ,20.55109193
SNE,Sony Corp.,索尼,计算机硬件,69952695109,NYSE,-178.32257534
AABA,Altaba  Inc.,新雅虎公司,null,69036336183,NASDAQ,null
CHTR,Charter Communications  Inc.,特许通讯公司,媒体内容,68214371331,NASDAQ,18.44514205
SCHW,The Charles Schwab Corp.,嘉信理财公司,多元化金融服务,67586141757,NYSE,38.26717806
PNC,The PNC Financial Services Group  Inc.,PNC金融服务集团,银行,67490099716,NYSE,19.88219118
SU,Suncor Energy  Inc.,森科能源公司,油气,67041547641,NYSE,206.00000075
ANTM,Anthem  Inc.,Anthem  Inc.,null,66731905089,NYSE,27.85341995
WBA,Walgreens Boots Alliance  Inc.,Walgreens Boots Alliance  Inc.,null,66471747169,NASDAQ,17.71957774
BDX,Becton  Dickinson & Co.,碧迪公司,医疗保健产品,65491172615,NYSE,40.78202941
AMT,American Tower Corp.,美国电塔,,65388180022,NYSE,74.85353802
CNI,Canadian National Railway Co.,加拿大国家铁路公司,运输,65205468448,NYSE,25.38857160
CVS,CVS Health Corp.,CVS健保公司,,64800478760,NYSE,12.98981686
FDX,FedEx Corp.,联邦快递集团,,64119796122,NYSE,34.29871805
VOD,Vodafone Group Plc,沃达丰集团公司,电信,63876720000,NASDAQ,-8.39160870
CB,Chubb Ltd.,丘博保险公司,保险,63796437570,NYSE,15.51747476
CELG,Celgene Corp.,新基公司,生物技术,63620432144,NASDAQ,36.36546293
EPD,Enterprise Products Partners LP,Enterprise Products Partners LP,,63405255241,NYSE,24.33333300
MDLZ,Mondelez International  Inc.,亿滋国际公司,,63288201910,NASDAQ,41.10476363
OXY,Occidental Petroleum Corp.,西方石油公司,,62976941504,NYSE,-109.65333049
VWO,Vanguard FTSE Emerging Markets Stock Index Fund,新兴市场ETF-Vanguard MSCI,股权,62895616319,NYSE,27.59615437
AGN,Allergan Plc,艾尔建制药公司,生物技术和制药,62470919586,NYSE,4.82661072
SYK,Stryker Corp.,史赛克公司,医疗保健产品,62252298859,NYSE,38.26436795
MU,Micron Technology  Inc.,美光科技公司,半导体,61944001770,NASDAQ,83.43750425
AET,Aetna  Inc.,安泰保险,健康护理服务,61184055998,NYSE,29.18096841
CSX,CSX Corp.,CSX运输,,61052839352,NYSE,39.27624231
VMW,VMware  Inc.,威睿公司,软件,60941172914,NYSE,53.26259311
TJX,The TJX Cos.  Inc.,TJX公司,零售,60932253400,NYSE,28.16762948
ENB,Enbridge  Inc.,安桥公司,,60442251301,NYSE,24.44827558
UBS,UBS Group AG,瑞士银行,,60150705535,NYSE,19.20238055
IRDMB,Iridium Communications  Inc.,Iridium Communications  Inc.,null,59467742580,NASDAQ,684.20788440
ISRG,Intuitive Surgical  Inc.,直觉外科公司,医疗保健产品,59340032776,NASDAQ,27.86439067
TSLA,Tesla  Inc.,特斯拉,汽车制造,59334416451,NASDAQ,-74.68803875
PUK,Prudential Plc,英国保诚集团,保险,58707121666,NYSE,24.32620404
ADP,Automatic Data Processing  Inc.,自动数据处理公司,商业服务,58426217322,NASDAQ,35.79300884
CL,Colgate-Palmolive Co.,高露洁棕榄有限公司,,58346748065,NYSE,24.72058719
AMX,America Movil SAB de CV,美洲移动公司,,57961433761,NYSE,119.92857746
ING,ING Groep NV,荷兰国际集团,保险,57801176555,NYSE,11.52713204
GD,General Dynamics Corp.,通用动力,航空航天\/国防,57757103077,NYSE,20.45540482
AMOV,America Movil SAB de CV,America Movil SAB de CV,,57512651873,NASDAQ,118.99999840
SMFG,Sumitomo Mitsui Financial Group  Inc.,三井住友金融集团,银行,57066833474,NYSE,11.05405432
PSX,Phillips 66,菲利普66公司,,56663228557,NYSE,41.79794516
MON,Monsanto Co.,孟山都公司,化学制品,56462286453,NYSE,35.05479277
DUK,Duke Energy Corp.,杜克能源公司,电力,56395447861,NYSE,25.78525638
ATVI,Activision Blizzard  Inc.,动视暴雪公司,软件,56349907921,NASDAQ,57.85937439
RTN,Raytheon Co.,雷神公司,航空航天\/国防,56232883478,NYSE,26.50134364
AGG,iShares Core U.S. Aggregate Bond ETF,债券指数ETF-iShares Barclays综合国债,股权,55153982886,NYSE,-35.01324455
CME,CME Group  Inc.,美国芝加哥商品交易所集团,,54663093241,NASDAQ,35.54966575
SPG,Simon Property Group  Inc.,西蒙地产集团,,54502707107,NYSE,30.02725689
LVS,Las Vegas Sands Corp.,金沙集团,住宿,53930721924,NYSE,32.59047883
HMC,Honda Motor Co.  Ltd.,本田汽车公司,汽车制造,53543946095,NYSE,14.13614976
AED,AEGON NV,AEGON NV,null,53149198336,NYSE,-83.87096710
TMUS,T-Mobile US  Inc.,T-Mobile US  Inc.,,53043658380,NYSE,36.79289834
AEH,AEGON NV,AEGON NV,null,53006104964,NYSE,103.72000122
INTU,Intuit  Inc.,财捷集团,软件,52787906160,NASDAQ,55.30376187
BK,The Bank of New York Mellon Corp.,纽约梅隆银行公司,,52627106418,NYSE,16.70793634
NOC,Northrop Grumman Corp.,诺斯洛普&#8226;格鲁门公司,航空航天\/国防,52048002358,NYSE,24.50287225
JD,JD.com  Inc.,京东,,51481049734,NASDAQ,-90.72500094
GM,General Motors Co.,通用汽车公司,汽车制造,51267998505,NYSE,6.10333316
AEB,AEGON NV,AEGON NV,null,50859692692,NYSE,-80.25806119
BMO,Bank of Montreal,蒙特利尔银行,银行,50767550000,NYSE,13.97707212
BTI,British American Tobacco plc,英美烟草公司,农业,50571307500,NYSE,17.50000054
EL,Estee Lauder Cos.  Inc.,雅诗兰黛公司,化妆品\/护理,50107007613,NYSE,47.31487908
BBDO,Banco Bradesco SA,布拉德斯科银行,银行,49934105384,NYSE,7.24271868
VLO,Valero Energy Corp.,瓦莱罗能源,油气,49698899350,NYSE,23.39351031
SPGI,S&P Global  Inc.,标普全球,null,49615919693,NYSE,24.84634727
AIG,American International Group  Inc.,美国国际集团,保险,49516111844,NYSE,-70.71795112
SO,The Southern Co.,美国南方公司,电力,49033446566,NYSE,19.00784397
ILMN,Illumina  Inc.,Illumina  Inc.,生物技术,48877500000,NASDAQ,108.30619128
AMAT,Applied Materials  Inc.,应用材料公司,半导体,48497178445,NASDAQ,24.79896866
ABB,ABB Ltd.,阿西布朗勃法瑞公司,,48114181548,NYSE,25.64772706
IJH,iShares Core S&P Mid-Cap ETF,标普中型股400指数ETF-iShares,股权,48009928059,NYSE,7.95725101
NSC,Norfolk Southern Corp.,诺福克南方公司,运输,47411838659,NYSE,30.12633470
MET,MetLife  Inc.,大都会人寿公司,保险,47303971276,NYSE,73.31745869
PX,Praxair  Inc.,普莱克斯公司,化学制品,47139421987,NYSE,31.46257140
IEMG,iShares Core MSCI Emerging Markets ETF,iShares Core MSCI Emerging Markets ETF,股权,47117281219,NASDAQ,null
ITW,Illinois Tool Works  Inc.,伊利诺工具集团,,47103363586,NYSE,24.39122867
BBVA,Banco Bilbao Vizcaya Argentaria SA,Banco Bilbao Vizcaya Argentaria SA,银行,46848010612,NYSE,13.03703645
D,Dominion Energy  Inc.,道明尼资源公司,,46454419601,NYSE,20.68023204
VEDL,Vedanta Ltd.,Vedanta Ltd.,null,46306051050,NYSE,-7.61585359
CCI,Crown Castle International Corp.,冠城国际,电信,46168750000,NYSE,117.10526463
DE,Deere & Co.,迪尔股份有限公司,机械-多元,46077591090,NYSE,30.75541122
BSX,Boston Scientific Corp.,波士顿科学,,46051775121,NYSE,133.52000427
CI,Cigna Corp.,信诺,健康护理服务,45921588516,NYSE,26.27259978
COF,Capital One Financial Corp.,第一资本金融公司,,45818763134,NYSE,13.89985464
MAR,Marriott International  Inc.,万豪国际,住宿,45815325732,NYSE,48.91287869
TEF,Telef贸nica SA,西班牙电信公司,,45471555396,NYSE,19.71111138
VRTX,Vertex Pharmaceuticals  Inc.,福泰制药,生物技术,45341107718,NASDAQ,-386.71738296
MFG,Mizuho Financial Group  Inc.,瑞穗金融集团,银行,45149371658,NYSE,7.57446798
CTSH,Cognizant Technology Solutions Corp.,高知特信息技术有限公司,,45039960358,NASDAQ,30.14117727
EMR,Emerson Electric Co.,美国艾默生电气公司,电力组件与设备,45015828855,NYSE,28.85829877
ORAN,Orange SA,法国电信公司,,44959123624,NYSE,15.09821409
EC,Ecopetrol SA,哥伦比亚国家石油,,44570395027,NYSE,83.38461962
HUM,Humana  Inc.,休曼纳公司,卫生保健设施,44318489714,NYSE,79.04176871
ZTS,Zoetis  Inc.,Zoetis  Inc.,null,44318337868,NYSE,55.41212220
INFY,Infosys Ltd.,印孚瑟斯技术公司,,44292592806,NYSE,21.91397742
WPZ,Williams Partners LP,Williams Partners LP,,44266586729,NYSE,-271.94117092
HCA,HCA Healthcare  Inc.,HCA控股,健康护理服务,43971713572,NYSE,17.16164322
RELX,RELX Plc,RELX Plc,null,43850752461,NYSE,31.53623232
ESRX,Express Scripts Holding Co.,快捷药方公司,制药,43801367886,NASDAQ,14.46753345
CNQ,Canadian Natural Resources Ltd.,加拿大自然资源公司,,43763254766,NYSE,-254.92856053
IWF,iShares Russell 1000 Growth ETF,罗素1000成长指数ETF-iShares,股权,43762555822,NYSE,12.45545325
RENX,RELX NV,RELX NV,null,43608926770,NYSE,31.36231806
IJR,iShares Core S&P Small Cap ETF,标普小型股600指数ETF-iShares,股权,43245152696,NYSE,3.91044114
TGT,Target Corp.,塔吉特公司,零售,43038346724,NYSE,17.18297988
REGN,Regeneron Pharmaceuticals  Inc.,再生元制药公司,生物技术,42816949029,NASDAQ,51.55844284
LYB,LyondellBasell Industries NV,利安德巴塞尔公司,化学制品,42681039012,NYSE,11.88061335
ICE,Intercontinental Exchange  Inc.,洲际交易所,多元化金融服务,42349089645,NYSE,30.75527549
BCS,Barclays Plc,巴克莱银行,银行,42323281859,NYSE,19.56862692
ENBA,Enbridge Inc.,Enbridge Inc.,null,42234147104,NYSE,null
ECL,Ecolab  Inc.,艺康集团,化学制品,42222085548,NYSE,35.34782634
PRU,Prudential Financial  Inc.,保德信金融集团,保险,42051749316,NYSE,10.28630246
CCL,Carnival Corp.,嘉年华公司,休闲,41842348915,NYSE,14.49507372
MMC,Marsh & McLennan Cos.  Inc.,威达信集团,保险,41824099846,NYSE,24.50295766
BX,The Blackstone Group LP,黑石集团,,41536926260,NYSE,22.25641186
VXZB,Barclays Bank PLC iPath Series B S&#38;P 500 VIX Mid-Term Future,Barclays Bank PLC iPath Series B S&#38;P 500 VIX Mid-Term Future,null,41406562978,AMEX,null
SHW,The Sherwin-Williams Co.,宣伟公司,化学制品,40935438158,NYSE,36.56130137
CM,Canadian Imperial Bank of Commerce,加拿大帝国商业银行,银行,40889335817,NYSE,10.41336328
EXC,Exelon Corp.,艾斯能公司,电力,40809850883,NYSE,34.66393436
STZ,Constellation Brands  Inc.,星座品牌酒业,饮料,40768716879,NYSE,32.18885468
PHG,Royal Philips NV,飞利浦电子公司,电子,40734299625,NYSE,26.02976244
CS,Credit Suisse Group AG,瑞士信贷集团,,40379639031,NYSE,-11.95488655
F,Ford Motor Co.,福特汽车公司,汽车制造,40374400311,NYSE,8.62608720
TRP,TransCanada Corp.,TransCanada Corp.,管道,40353390816,NYSE,377.41668273
KMB,Kimberly-Clark Corp.,金伯利克拉克公司,家庭产品\/用品 ,40137223956,NYSE,19.26043525
BAM,Brookfield Asset Management  Inc.,布鲁克菲尔德资产管理,,40030832339,NYSE,26.98709879
BBT,BB&T Corp.,BB&T银行,银行,39744619804,NYSE,18.52707583
STZ.B,Constellation Brands  Inc.,（STZ.B）,null,39744478957,NYSE,23.89103129
EA,Electronic Arts  Inc.,电子艺界公司,软件,39366898132,NASDAQ,31.22572754
DYNC,Vistra Energy Corp.,Vistra Energy Corp.,null,39330372760,NYSE,null
RBS,Royal Bank of Scotland Group Plc,苏格兰皇家银行,银行,39193842377,NYSE,-4.47972975
KMI,Kinder Morgan  Inc.,金德尔摩根公司,,38966187515,NYSE,70.72000122
BAX,Baxter International  Inc.,百特国际有限公司,,38756887441,NYSE,8.01775761
ITUB,Ita煤 Unibanco Holding SA,艾涛巴西联合银行,银行,38631310481,NYSE,10.74336318
WM,Waste Management  Inc.,美国废物管理公司,,38601045334,NYSE,34.00377259
AEP,American Electric Power Co.  Inc.,美国电力公司,电力,37594784209,NYSE,56.84677203
CHA,China Telecom Corp. Ltd.,中国电信集团公司,,37528338316,NYSE,14.49062445
BCE,BCE  Inc.,加拿大贝尔,,37400405305,NYSE,16.66000061
